id,name_latin,name_english,category,type,slot,damage,damage_type,range,weight_lb,cost_d,cost_gp,ac,properties,special,culture,availability
parma,Parma,Germanic round shield,shield,,shield,,,,6,5,7,+2,,"No testudo or Roman formation; strap grip (free weapon arm); bash: +Str hit 1d4 bludgeoning DC 12 Str or push 5 ft; Germanic cultural benefit",Germanic,black_market
siege_pavise,Siege Pavise,Crew-planted wall shield,shield,,shield,,,,30,5,5,+5 (3/4 cover),,"Three-quarters cover (+5 AC +3 Dex saves); two soldiers: plant in 30 seconds; one soldier: 1 minute; knockdown if 20+ damage in single hit",Roman,crafted
leather_gauntlets,Leather Gauntlets,Standard leather gauntlets,gear,slot,gloves,,,,1,2,2,+1 (hand/wrist),,Disadvantage on Sleight of Hand and fine manipulation checks,Universal,standard
manica,Manica,Articulated arm guard,gear,slot,arms,,,,3,20,20,+2 (weapon arm),,"Weapon arm only; no shield on same arm; disadvantage on ranged weapon attacks with that arm; relevant most in duels and called-shot situations",Roman,limited
sagum,Sagum,Military cloak,gear,slot,cloak,,,,4,5,5,,,"Advantage on Con saves vs. cold; advantage on Stealth vs. visual detection in dim light or darkness; two sagum-wearers can carry an unconscious ally as improvised stretcher",Roman,standard
paludamentum,Paludamentum,Officer's cloak,gear,slot,cloak,,,,3,20,20,,,"Advantage on Persuasion/Intimidation with Roman soldiers (officer's cloak is a rank signal); disadvantage on Stealth (scarlet visible at distance)",Roman,restricted
birrus,Birrus,Hooded traveling cloak,gear,slot,cloak,,,,5,3,3,,,"Advantage on Con saves vs. cold and rain; hood: disadvantage on Perception (peripheral vision reduced); double advantage on weather endurance checks",Roman,standard
caligae,Caligae,Hobnailed military sandals,gear,slot,boots,,,,2,5,5,,,"Advantage on Athletics checks to maintain footing on wet/muddy/slippery terrain; stomp: 1d4 bludgeoning vs. prone creature as bonus action; disadvantage on Stealth on stone floors",Roman,standard
military_boots,Military Boots,Standard military boots,gear,slot,boots,,,,3,5,5,,,"Advantage on Con saves vs. cold feet and wet ground; no Stealth disadvantage; track pattern identifies wearer as Roman to any experienced tracker",Roman,standard
cingulum_militare,Cingulum Militare,Military belt,gear,slot,belt,,,,2,5,5,,,"Carry 3 one-handed weapons or 5 utility items in belt loops without encumbrance; DC 12 History to read unit/service/campaign history from decorations",Roman,standard
shortbow,Arcus Brevis,Shortbow,ranged,simple,,1d6,piercing,80/320,2,25,25,,two-handed,"Standard D&D shortbow; no special campaign properties. Non-archer characters who want a bow default to this.",Universal,limited
tridens,Tridens,Gladiatorial trident,melee,martial,,1d6,piercing,,4,15,15,,versatile 1d8|thrown 20/60,"Arena-trained use: when you hit a restrained target with the tridens you deal +1d6 piercing (the tines find gaps in posture that an upright opponent would close). Personal property or arena supply only — not in the fort armory.",Roman,arena
sica,Sica,Thraex curved blade,melee,martial,,1d6,slashing,,3,10,10,,finesse|light,"The curve allows attacks past a raised shield: once per turn your attack with the sica ignores the +2 AC bonus from a non-tower shield (the blade arcs around it). Standard Roman shields still apply if the wielder is in testudo stance.",Roman,arena
gladius_quality,Gladius (Rufus-made),Quality gladius,upgrade,martial,,1d6,piercing/slashing,,3,40,,,"finesse","Superior edge retention: ignore your first failed weapon maintenance roll each session. Balanced for formal use as well as combat: can be offered as a gift to a Roman officer (DC 12 Persuasion where a standard gladius would require DC 15). Rufus makes one per session rest at Camp Level 3.",Roman,commission
pilum_heavy_weighted,Pilum capite plumbeo,Weighted-head heavy pilum,upgrade,martial,,1d8,piercing,30/60,5,10,,,,"Same shield-bending property as standard heavy pilum. On hit: extra mass disrupts target footing — target has disadvantage on their next Dexterity saving throw until start of their next turn. 2d commission surcharge per pilum above standard heavy pilum cost.",Roman,commission
scutum_ferratum,Scutum ferratum,Iron-banded tower shield (commission),upgrade,shield,shield,,,,14,50,,+2,,"Rufus bands your existing scutum with iron strips. HP 30 (up from 15). Absorbs first 3 slashing damage per attack (iron bands deflect glancing blade hits). Shield bash deals 1d8 bludgeoning (up from 1d6). 40d commission above base scutum price. 4 lb heavier.",Roman,commission
subarmalis,Subarmalis,Quilted under-armour,upgrade,gear,body,,,,4,15,,,,"Worn under any armour; adds 4 lb but does not change AC or armour category. When you take a critical hit: roll one fewer extra damage die (minimum 1 extra die still applies). Quilting absorbs concentrated force. Does not stack with similar damage-reduction effects.",Roman,commission
pugio_quillon,Pugio cum clavo,Quillon-guard pugio,upgrade,martial,,1d4,piercing,,1,20,,,"finesse|light","While you have a creature grappled or are grappled: that creature has disadvantage on all escape attempts. The quillon point creates a credible deterrent against sudden movement that a standard pugio blade does not.",Roman,commission
cingulum_quickdraw,Cingulum expeditum,Quick-draw military belt,upgrade,gear,belt,,,,2,25,,,,"Draw any weapon on this belt as a free object interaction without consuming your normal free object interaction for the turn. Accommodates up to 3 weapons in purpose-built loops. Replaces standard cingulum militare. Built to measure: non-transferable fit.",Roman,commission
caligae_ferratae,Caligae ferratae,Reinforced hobnailed sandals,upgrade,gear,boots,,,,3,15,,,,"Stomp attack deals 1d6 bludgeoning against a prone creature (up from 1d4). Advantage on Strength (Athletics) checks to maintain footing or resist being knocked prone. Iron studs replace standard hobnails: same Stealth disadvantage on stone floors.",Roman,commission
francisca_aequilibrata,Francisca aequilibrata,Balanced throwing axes (set of 3),upgrade,martial,,1d6,slashing,15/30,9,25,,,,"Hand-balanced by Rufus for a specific thrower: +1 to attack rolls with these specific axes only (not other franciscae). Retrievable after combat. The bonus is personal: another thrower does not benefit from the balance.",Germanic,commission
healing_potion,Potio sanitatis,Healing potion,consumable,potion,,,,,,50,,,,"Restores 2d6+2 hit points as an action (drinking) or bonus action (administering to adjacent unconscious ally). Fort supply controlled by Valeria; vicus supply from traveling merchants. 4 available at campaign start. Camp Level 2 restocks to 12.",Universal,vicus
antitoxin,Antitoxinum,Antitoxin vial,consumable,potion,,,,,,50,,,,"Advantage on all saving throws against poison for 1 hour; if currently poisoned immediately ends the poisoned condition. Fort stock controlled by medicus. Vicus has independent supply via Sigrun's trade contacts. DC 14 Constitution saves in Session 3 benefit directly.",Universal,vicus
alchemists_fire,Ignis artificialis,Alchemist's fire (flask),consumable,thrown,,1d4,fire,20,,30,,,thrown,"On hit: target takes 1d4 fire damage at start of each turn until extinguished (action + DC 10 Dex check or rolling prone). Sealed clay vessel: if dropped (fumble or fall) DC 12 Dex save or breaks under you. Effective against thatch structures in Session 3.",Universal,vicus
caltrops_bag,Tribuli,Bag of caltrops,consumable,gear,,,,,,5,,,,"Scatter to cover a 5-ft square (action). Any creature moving through at normal speed takes 1 piercing damage and speed halved until spike removed (DC 10 Medicine or 1 minute self). No effect on creatures already at half speed.",Universal,vicus
amber_pendant,Electrum ornamentum,Amber pendant,gear,slot,neck,,,,0.5,25,,,,"Germanic NPCs (Vercingetorix, Thusnelda, tribal warriors) treat initial attitude as one step warmer when worn visibly. Religion DC 13 passive identifies origin tribe. No mechanical effect on Romans. Once a NPC knows you their personal opinion supersedes it.",Germanic,vicus
rune_token_carved,Tessera runica,Carved rune token,consumable,social,,,,,,15,,,,"One use. Present to a Germanic NPC before a social check: DC of that check reduced by 3. Sigrun carves the correct rune for the intended people; a wrong rune has no effect and she will tell you if you describe who it is for.",Germanic,vicus
seidhr_herbs,Herbae seidhr,Seiðr herb bundle,consumable,social,,,,,,20,,,,"Burn while making a Religion or Insight check related to Germanic beliefs or ritual: advantage on that check. One use per bundle. The smell is distinctive: Roman soldiers present make DC 12 Wisdom save or treat you as one step more suspicious for 10 minutes.",Germanic,vicus
bog_preserved_meat,Caro paludosa,Preserved bog meat (5 rations),consumable,ration,,,,,2,8,,,,"5 rations per purchase. In Germanic contexts counts as a proper food offering (not travel rations). Germanic NPCs who see you share this treat initial attitude as one step less suspicious. Standard caloric and ration mechanics otherwise.",Germanic,vicus
grappling_hook,Harpago,Grappling hook and rope (50 ft),gear,slot,misc,,,,3,15,,,,"When hook is set on a fixed surface: advantage on Athletics checks to climb; on a failed climb check you slip but catch rather than fall (no falling damage from this specific check). Rope is 50 ft hemp: supports up to 300 lb.",Universal,vicus
climbing_gear,Instrumenta scalaria,Climbing pitons and hammer,gear,slot,misc,,,,2,20,,,,"20 iron pitons and a hammer. Setting pitons as you climb: on a failed Athletics climb check you stop but do not fall (costs 5 ft of movement to arrest). Does not prevent environmental falls (collapse or being shoved).",Universal,vicus
thieves_tools,Ferramenta furum,Thieves' tools,gear,slot,misc,,,,1,25,,,,"Dexterity check to pick locks or disable mechanical traps; proficiency applies if you have it. Listed on the vicus manifest as woodworking tools. The fort armory does not carry them.",Universal,vicus
herbalism_kit,Instrumenta herbarum,Herbalism kit,gear,slot,misc,,,,3,35,,,,"Required to craft antitoxins and identify plant compounds. Advantage on Medicine checks to identify plant-based poisons or detect food and drink adulteration. Session 3 forest has nightshade and henbane: identifiable and usable with this kit.",Universal,vicus
rumour_purchase,Rumor emptus,Purchased rumour (Brennus),service,social,,,,,,5,,,,"5d per rumour; maximum 3 per session. Each is a current-events clue from the DM's prepared session list. Information is accurate: Brennus repeats what he heard, not what he invented. Interpretation is yours.",Universal,vicus
combat_training,Exercitatio,Combat drill with a veteran,service,social,,,,,,50,,,,"4 hours. For the next session only: +1 to attack rolls with one specific weapon type you already have proficiency in (chosen at training). Does not stack; re-purchasing resets the weapon type. Requires a veteran NPC with relevant experience to be available.",Roman,vicus
local_guide,Dux localis,Local guide (one day),service,social,,,,,,10,,,,"Advantage on Survival checks in one terrain type for one day (forest, road, fort environs, or frontier river crossing). The guide knows the territory and its hazards. Will not enter hostile encounters. Does not know campaign secrets.",Universal,vicus
ballista,Ballista,Ballista (wall bolt-thrower),siege,crew,,2d10,piercing,120/480,1500,,,,"crew 2|fort asset","Attack +6 to hit; DC 14 Str save or target knocked prone on hit; aerial targets: a trained crew who observed the creature's flight for 1 full round may attack without disadvantage (1d10+4 piercing); cannot be repositioned during combat without 6 soldiers spending their full action; wall-mounted only",Roman,fort_asset
hastile_optioni,Hastile Optioni,Optio's knobbed staff,melee,simple,,1d4,bludgeoning,,3,,,"",light,"Authority: issued to optio rank only. When used to prod a Roman soldier within 5 ft back into position (bonus action), that soldier makes a DC 11 Wisdom save or must comply immediately; on a success they comply on their next turn. Carrying one without optio rank is a disciplinary offence; any sergeant or officer who sees it will ask directly.",Roman,restricted
shortsword,Gladius Brevis,Shortsword,melee,martial,,1d6,piercing,,2,10,10,,finesse|light,"Standard D&D shortsword. Class substitution weapon for Bard, Rogue, and Monk. Common among auxiliary troops and arena-trained fighters. No campaign-specific formation bonuses; does not benefit from the gladius Formation Bonus property.",Universal,standard
mace,Clava,Mace,melee,simple,,1d6,bludgeoning,,4,5,5,,,"Standard D&D mace. Used by field clerics and chaplain aides who need a weapon compatible with one hand occupied by a holy symbol. Not issued by the armory; purchased from the vicus smith or brought from home. No campaign-specific properties.",Universal,standard
quarterstaff,Baculum,Quarterstaff,melee,simple,,1d6,bludgeoning,,4,0.2,,,"versatile 1d8","Standard D&D quarterstaff. Class substitution for Monk, Druid, and Cleric. A length of hardwood cut to fighting height and fire-hardened. Available from the vicus carpenter or cut from any woodland timber in 10 minutes. No campaign-specific properties.",Universal,standard
handaxe,Securis,Handaxe,melee,simple,,1d6,slashing,,2,5,5,,light|thrown 20/60,"Standard D&D handaxe. Class substitution for Monk. Available from the vicus or fort smith. Carry two as paired one-handed weapons. No campaign-specific properties; Germanic-pattern variants look identical mechanically.",Universal,standard
longsword,Spatha Longa,Longsword,melee,martial,,1d8,slashing,,3,15,15,,versatile 1d10,"Standard D&D longsword. Officers' weapon and heavy cavalry side-arm. No campaign-specific properties distinct from the spatha; use this entry for class substitution (Paladin, Eldritch Knight, Fighter). Mechanically identical to the spatha for game purposes.",Universal,limited
pike,Sarissa,Pike,melee,martial,,1d10,piercing,,18,,,,"reach|two-handed","Germanic and Caledonian long-spear used in dense formations. Appears in Chapter 3 forest ambush. Cannot be used in tight spaces (corridors under 10 ft wide): attacks in such spaces are made at disadvantage. Cannot be used in any Roman formation. Not issued; encountered on enemies.",Germanic,black_market
akinakes,Akinakes,Akinakes (Sarmatian short sword),melee,martial,,1d6,piercing,,2,8,8,,finesse|light,"Short straight stabbing sword of Sarmatian and Parthian heavy cavalry. Worn at the right hip alongside the kontos scabbard; drawn when the lance is spent and range collapses. A character proficient with the shortsword transfers that proficiency to the akinakes automatically (same grip and technique).",Germanic,order
dart,Telum,Dart,thrown,simple,,1d4,piercing,20/60,0.25,0.05,,,"finesse|thrown","Standard D&D dart. Class substitution for Monk. A weighted throwing spike functionally similar to the plumbata at close range but lighter and without the plumbata's arc advantage. Characters carry up to 10 without encumbrance. Freely available from the vicus.",Universal,standard
javelin,Iaculum,Javelin,thrown,simple,,1d6,piercing,30/120,2,0.5,,,"thrown","Standard D&D javelin. Generic class substitution for Cleric, Druid, and Paladin who need a simple thrown weapon. Mechanically identical to the light pilum but without campaign special properties. Freely available from the fort quartermaster without requisition.",Universal,standard
hand_crossbow,Arcuballista Brevis,Hand crossbow,ranged,martial,,1d6,piercing,30/120,3,25,25,,light|loading,"Standard D&D hand crossbow. Class substitution for Bard and Rogue. Not standard legion issue; found in fort stores as personal-purchase equipment. Loading: bonus action to reload between shots. Light property: can be used in the off hand alongside a one-handed weapon.",Universal,limited
longbow,Arcus Magnus,Longbow,ranged,martial,,1d8,piercing,150/600,2,50,50,,heavy|two-handed,"Standard D&D longbow. Not standard Roman issue (composite bow preferred for cavalry; sling preferred for infantry). Available from Batavian or Germanic auxiliary archers. Class substitution option. Requires STR 11+ for full draw; characters with STR 10 or below have disadvantage on attack rolls.",Universal,limited
